generation,best_distance,average_distance,worst_distance,best_fitness,average_fitness,worst_fitness
155,506.837765624095,507.5843959944278,561.1958729682159,0.001969132797304025,0.001966471813083743,0.0017787394893532696
156,506.837765624095,506.837765624095,506.837765624095,0.001969132797304025,0.001969132797304025,0.001969132797304025
157,506.837765624095,506.9131240475752,514.3736079721093,0.001969132797304025,0.001968844868816938,0.0019403399485953448
158,506.837765624095,506.837765624095,506.837765624095,0.001969132797304025,0.001969132797304025,0.001969132797304025
159,506.837765624095,507.43248068164115,566.3092713787066,0.001969132797304025,0.001967068538911035,0.0017627069580050123
160,506.837765624095,507.82078705142374,552.7126703599154,0.001969132797304025,0.001965604730340081,0.0018059908207446222
161,506.837765624095,508.1240256356485,572.2798159336978,0.001969132797304025,0.0019645351952413126,0.0017443488715389451
162,506.837765624095,507.68839450089666,573.8903531572844,0.001969132797304025,0.0019661616625330507,0.0017394621330972478
163,506.837765624095,507.7737493919781,564.0488694699943,0.001969132797304025,0.0019658224774431886,0.0017697584298115349
164,506.837765624095,506.837765624095,506.837765624095,0.001969132797304025,0.001969132797304025,0.001969132797304025
165,506.837765624095,507.4812809666753,571.1892998821178,0.001969132797304025,0.0019669182029959805,0.0017476733664995477
166,506.837765624095,506.837765624095,506.837765624095,0.001969132797304025,0.001969132797304025,0.001969132797304025
167,506.837765624095,506.837765624095,506.837765624095,0.001969132797304025,0.001969132797304025,0.001969132797304025
168,506.837765624095,506.9503708877474,518.0982919893296,0.001969132797304025,0.0019687056436777685,0.001926417434678355
169,506.837765624095,507.42911182488683,565.9723857032774,0.001969132797304025,0.0019670790126261415,0.0017637543295156986
170,506.837765624095,507.0541623048594,528.4774337005307,0.001969132797304025,0.0019683280155055965,0.0018886546174611742
171,506.837765624095,506.837765624095,506.837765624095,0.001969132797304025,0.001969132797304025,0.001969132797304025
172,506.837765624095,507.2566634670927,548.7275499238658,0.001969132797304025,0.0019676322985906517,0.0018190829259666801
173,506.837765624095,507.86778501691464,552.3334801046688,0.001969132797304025,0.0019654062228069225,0.0018072284362963898
174,506.837765624095,507.66660352156083,559.218168192073,0.001969132797304025,0.0019661656172571883,0.0017850188672516349
175,506.837765624095,507.9021521073388,544.7894129727514,0.001969132797304025,0.001965276059942807,0.0018322084969609426
176,506.837765624095,507.0410360147067,527.1648046852604,0.001969132797304025,0.0019683749535603233,0.001893348422933845
177,506.837765624095,508.4852127943517,575.8537495825562,0.001969132797304025,0.0019633907694036837,0.0017335416485090998
178,506.837765624095,507.70973805454065,565.0903281019465,0.001969132797304025,0.0019660446879869314,0.0017665025356517153
